Robbery, City
17,El Mirage
17,Hope
17,Arcata
17,Hermosa Beach
17,Oroville
17,Parlier
17,Littleton
17,East Haven
17,Wethersfield
17,St. Augustine
17,Coeur d'Alene
17,Ames
17,Shawnee
17,Danville
17,Fort Wright
17,Capitol Heights
17,Havre de Grace
17,Webster
17,Norton Shores
17,Austin
17,Robbinsdale
17,Holly Springs
17,Bridgeton
17,Bound Brook
17,Monroe Township  Gloucester County
17,Dunkirk
17,Rockville Centre Village
17,Tarboro
17,Cleveland Heights
17,Delaware
17,Fremont
17,Reading
17,McAlester
17,Oregon City
17,South Whitehall Township
17,West Whiteland Township
17,Clinton
17,Hardeeville
17,Walterboro
17,Bristol
17,Franklin
17,Alamo
17,Corsicana
17,Lancaster
17,Culpeper
17,Franklin
17,Monona
17,Shorewood
16,Sierra Vista
16,Camden
16,Blythe
16,El Segundo
16,Piedmont
16,Ridgecrest
16,Yorba Linda
16,Northglenn
16,Milford
16,Crestview
16,Miami Springs
16,Panama City Beach
16,Royal Palm Beach
16,South Bay
16,Weston
16,Doraville
16,Suwanee
16,Villa Rica
16,Auburn
16,Highland
16,Dubuque
16,Radcliff
16,Richmond
16,West Monroe
16,District Heights
16,Dartmouth
16,Southbridge
16,Kalamazoo Township
16,Lansing Township
16,Oakdale
16,Portsmouth
16,Eatontown
16,Elmwood Park
16,Gloucester City
16,Seaside Heights
16,Voorhees Township
16,Weehawken Township
16,Dewitt Town
16,Clayton
16,Graham
16,Havelock
16,Mount Airy
16,North Olmsted
16,Bristol
16,Collingdale
16,Lansdowne
16,Swissvale
16,Humboldt
16,Red Bank
16,Allen
16,Donna
16,Burlington
16,Bristol
16,Salem
16,Burlington
16,Shelton
16,Fond du Lac
15,Pell City
15,Lafayette
15,Riverbank
15,Yucaipa
15,Dunedin
15,Sebring
15,Winter Springs
15,Duluth
15,Elberton
15,Pocatello
15,Columbus
15,Greenwood
15,Munster8
15,Portage
15,Urbandale
15,Coffeyville
15,Campbellsville
15,Somerset
15,Chestertown
15,Canton Township
15,Holland
15,Melvindale
15,Anoka
15,Blaine
15,Canton
15,Hannibal
15,Maplewood
15,Grand Island
15,Mount Laurel Township
15,Rio Rancho
15,Clarkstown Town
15,Belmont
15,Farmville
15,Barberton
15,Beavercreek
15,Mentor
15,Altus
15,Ponca City
15,Shawnee
15,Pocono Township
15,Springfield Township  Delaware County
15,Cheraw
15,Big Spring
15,Eagle Pass
15,El Campo
15,White Settlement
15,South Boston
15,Covington
14,Marana
14,Nogales
14,Paragould
14,Beaumont
14,Galt
14,Marina
14,Millbrae
14,Brighton
14,Live Oak
14,Maitland
14,Fishers
14,Griffith
14,Coralville
14,Mason City
14,Emporia
14,Salina
14,Crowley
14,Biddeford
14,Amherst
14,Palmer
14,Meridian Township
14,Apple Valley
14,Indianola
14,Rolla
14,Absecon
14,Burlington Township
14,Ocean Township  Monmouth County
14,Las Vegas
14,Los Lunas
14,Endicott Village
14,Lackawanna
14,Fuquay-Varina
14,Stallings
14,Wadesboro
14,Eastlake
14,Greenfield
14,Perry Township  Stark County
14,West Carrollton
14,Bethany
14,Edmond
14,El Reno
14,Stillwater
14,Cranberry Township
14,Morrisville
14,West Norriton Township
14,Wilkes-Barre Township
14,East Providence
14,Cayce
14,Easley
14,Elizabethton
14,Newport
14,Savannah
14,Alvin
14,Angleton
14,Athens
14,Bellmead
14,Brownwood
14,Frisco
14,Henderson
14,Jacksonville
14,San Benito
14,San Juan
14,Socorro8
14,Kenmore
14,Richland
14,Clarksburg
14,Oshkosh
13,Adamsville
13,Wetumpka
13,Newport
13,Rogers
13,Atascadero
13,Laguna Niguel
13,Lemoore
13,Pacifica
13,Reedley
13,Twentynine Palms
13,Newington
13,Atlantic Beach
13,Jonesboro
13,Carmel
13,Bettendorf
13,Burlington
13,Junction City
13,Mission
13,Winchester
13,Augusta
13,South Portland
13,Avon
13,Bloomfield Township
13,Mundy Township
13,Sedalia
13,Bozeman
13,Derry
13,Pine Hill
13,Sayreville
13,South Plainfield
13,Glen Cove
13,Orangetown Town
13,Lockland
13,The Village
13,Grants Pass
13,Tualatin
13,Cumru Township
13,Gettysburg
13,Newberry
13,Seneca
13,Commerce
